system,li,ui,p95,count
bookstore_nodejs, 24.0, 24.0 , 24 , 2959
bookstore_nodejs, 10299.0, 10305.0 , 10299.5 , 781
bookstore_nodejs, 99.0, 106.0 , 99 , 745
bookstore_nodejs, 92.0, 103.0 , 95 , 745
bookstore_nodejs, 174.0, 178.0 , 174.5 , 1365
bookstore_nodejs, 6296.0, 6392.0 , 6352 , 1374
bookstore_nodejs, 370.0, 442.0 , 377.5 , 1373
bookstore_nodejs, 348.0, 353.0 , 350 , 1796
bookstore_nodejs, 346.0, 354.0 , 346 , 1826
bookstore_nodejs, 5796.0, 5803.0 , 5800 , 1814
bookstore_nodejs, 1743.0, 1748.0 , 1744 , 2307
bookstore_nodejs, 38.0, 38.0 , 38 , 2313
bookstore_nodejs, 49.0, 50.0 , 49 , 2372
bookstore_nodejs, 38.0, 39.0 , 38 , 2721
bookstore_nodejs, 49.0, 50.0 , 49 , 2801
bookstore_nodejs, 477.0, 479.0 , 478 , 2715
bookstore_nodejs, 250.0, 252.0 , 251.5 , 2776
bookstore_nodejs, 50.0, 51.0 , 51 , 2766
bookstore_nodejs, 55.0, 56.0 , 55 , 2862
bookstore_nodejs, 58.0, 59.0 , 58.5 , 2779
bookstore_nodejs, 71.0, 72.0 , 71 , 2873
bookstore_nodejs, 194.0, 195.0 , 194.5 , 2784
bookstore_nodejs, 10299.0, 10305.0 , 10299.5 , 781
bookstore_nodejs, 99.0, 106.0 , 99 , 745
bookstore_nodejs, 92.0, 103.0 , 95 , 745
bookstore_nodejs, 39.0, 42.0 , 39.5 , 485
bookstore_nodejs, 16741.0, 16784.0 , 16760 , 495
bookstore_nodejs, 32.0, 35.0 , 33 , 495
bookstore_nodejs, 3142.0, 3147.0 , 3142.5 , 1789
bookstore_nodejs, 32.0, 32.0 , 32 , 1806
bookstore_nodejs, 39.0, 40.0 , 39.5 , 1845
bookstore_nodejs, 8882.0, 8890.0 , 8883.5 , 884
bookstore_nodejs, 30.0, 30.0 , 30 , 879
bookstore_nodejs, 38.0, 38.0 , 38 , 897
bookstore_nodejs, 1361.0, 1365.0 , 1361 , 1756
